"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1928-11-15","New York Rangers","2","Detroit Cougars","0","","","",""
"2","1928-11-15","Montreal Maroons","1","Montreal Canadiens","3","","","",""
"3","1928-11-15","New York Americans","0","Ottawa Senators","0","OT","","",""
"4","1928-11-15","Boston Bruins","1","Pittsburgh Pirates","0","OT","","",""
"5","1928-11-15","Chicago Black Hawks","0","Toronto Maple Leafs","2","","","",""
"6","1928-11-17","Chicago Black Hawks","2","Montreal Maroons","4","","","",""
"7","1928-11-17","Boston Bruins","2","Ottawa Senators","2","OT","","",""
"8","1928-11-17","Montreal Canadiens","2","Toronto Maple Leafs","4","","","",""
"9","1928-11-18","Pittsburgh Pirates","1","Detroit Cougars","3","","","",""
"10","1928-11-18","New York Rangers","1","New York Americans","1","OT","","",""
"11","1928-11-20","Montreal Canadiens","1","Boston Bruins","0","","","",""
"12","1928-11-20","Pittsburgh Pirates","2","Chicago Black Hawks","0","","","",""
"13","1928-11-20","Montreal Maroons","1","New York Rangers","0","","","",""
"14","1928-11-20","Toronto Maple Leafs","1","Ottawa Senators","4","","","",""
"15","1928-11-22","New York Rangers","2","Chicago Black Hawks","1","","","",""
"16","1928-11-22","Boston Bruins","0","Detroit Cougars","2","","","",""
"17","1928-11-22","Ottawa Senators","1","Montreal Maroons","0","","","",""
"18","1928-11-22","Toronto Maple Leafs","0","New York Americans","3","","","",""
"19","1928-11-22","Montreal Canadiens","0","Pittsburgh Pirates","0","OT","","",""
"20","1928-11-24","New York Americans","4","Montreal Canadiens","3","","","",""
"21","1928-11-24","Detroit Cougars","1","Ottawa Senators","1","OT","","",""
"22","1928-11-24","Montreal Maroons","1","Toronto Maple Leafs","4","","","",""
"23","1928-11-25","Boston Bruins","1","Chicago Black Hawks","1","OT","","",""
"24","1928-11-25","Pittsburgh Pirates","0","New York Rangers","2","","","",""
"25","1928-11-27","Pittsburgh Pirates","0","Boston Bruins","1","","","",""
"26","1928-11-27","Toronto Maple Leafs","0","Montreal Maroons","4","","","",""
"27","1928-11-27","Ottawa Senators","0","New York Americans","1","","","",""
"28","1928-11-29","Montreal Maroons","1","Detroit Cougars","1","OT","","",""
"29","1928-11-29","Pittsburgh Pirates","1","Montreal Canadiens","1","OT","","",""
"30","1928-11-29","Chicago Black Hawks","1","New York Rangers","2","OT","","",""
"31","1928-12-01","New York Rangers","0","Montreal Maroons","3","","","",""
"32","1928-12-01","Montreal Canadiens","2","Ottawa Senators","0","","","",""
"33","1928-12-01","Chicago Black Hawks","3","Pittsburgh Pirates","2","","","",""
"34","1928-12-01","New York Americans","0","Toronto Maple Leafs","3","","","",""
"35","1928-12-02","New York Americans","1","Detroit Cougars","2","","","",""
"36","1928-12-04","New York Rangers","0","Boston Bruins","2","","","",""
"37","1928-12-04","Toronto Maple Leafs","3","Montreal Canadiens","1","","","",""
"38","1928-12-06","New York Americans","1","Montreal Maroons","4","","","",""
"39","1928-12-06","Chicago Black Hawks","0","Ottawa Senators","2","","","",""
"40","1928-12-06","New York Rangers","0","Pittsburgh Pirates","0","OT","","",""
"41","1928-12-08","Montreal Maroons","1","Boston Bruins","5","","","",""
"42","1928-12-08","Chicago Black Hawks","1","Montreal Canadiens","2","","","",""
"43","1928-12-08","Detroit Cougars","3","Pittsburgh Pirates","0","","","",""
"44","1928-12-08","Ottawa Senators","2","Toronto Maple Leafs","1","OT","","",""
"45","1928-12-09","New York Rangers","2","Detroit Cougars","2","OT","","",""
"46","1928-12-09","Boston Bruins","1","New York Americans","2","","","",""
"47","1928-12-11","New York Americans","3","Boston Bruins","0","","","",""
"48","1928-12-11","Ottawa Senators","1","Chicago Black Hawks","2","","","",""
"49","1928-12-11","Detroit Cougars","1","Montreal Maroons","2","","","",""
"50","1928-12-11","Toronto Maple Leafs","2","New York Rangers","3","","","",""
"51","1928-12-13","Ottawa Senators","1","Detroit Cougars","1","OT","","",""
"52","1928-12-13","New York Rangers","3","Montreal Canadiens","2","OT","","",""
"53","1928-12-13","Montreal Maroons","1","New York Americans","2","","","",""
"54","1928-12-15","Montreal Canadiens","0","Montreal Maroons","0","OT","","",""
"55","1928-12-15","Pittsburgh Pirates","0","Ottawa Senators","0","OT","","",""
"56","1928-12-15","Boston Bruins","0","Toronto Maple Leafs","2","","","",""
"57","1928-12-16","New York Americans","1","Chicago Black Hawks","0","","","",""
"58","1928-12-16","Detroit Cougars","0","New York Rangers","3","","","",""
"59","1928-12-18","Detroit Cougars","1","Boston Bruins","3","","","",""
"60","1928-12-18","Montreal Canadiens","5","Chicago Black Hawks","0","","","",""
"61","1928-12-18","Pittsburgh Pirates","0","New York Americans","2","","","",""
"62","1928-12-18","Montreal Maroons","2","Ottawa Senators","1","","","",""
"63","1928-12-20","Montreal Canadiens","1","Detroit Cougars","5","","","",""
"64","1928-12-20","Toronto Maple Leafs","3","Montreal Maroons","6","","","",""
"65","1928-12-20","Ottawa Senators","0","New York Rangers","1","","","",""
"66","1928-12-20","New York Americans","0","Pittsburgh Pirates","1","","","",""
"67","1928-12-22","Ottawa Senators","0","Montreal Canadiens","1","","","",""
"68","1928-12-22","Pittsburgh Pirates","3","Toronto Maple Leafs","2","","","",""
"69","1928-12-23","Detroit Cougars","2","New York Americans","0","","","",""
"70","1928-12-25","Chicago Black Hawks","2","Boston Bruins","1","","","",""
"71","1928-12-25","New York Americans","1","New York Rangers","0","","","",""
"72","1928-12-25","Montreal Maroons","1","Toronto Maple Leafs","4","","","",""
"73","1928-12-27","Detroit Cougars","0","Montreal Canadiens","3","","","",""
"74","1928-12-27","Chicago Black Hawks","2","New York Americans","0","","","",""
"75","1928-12-27","Toronto Maple Leafs","2","Pittsburgh Pirates","0","","","",""
"76","1928-12-29","Pittsburgh Pirates","3","Montreal Maroons","2","","","",""
"77","1928-12-29","New York Americans","2","Ottawa Senators","2","OT","","",""
"78","1928-12-29","Detroit Cougars","3","Toronto Maple Leafs","4","","","",""
"79","1928-12-30","Chicago Black Hawks","1","Detroit Cougars","3","","","",""
"80","1928-12-30","Boston Bruins","0","New York Rangers","2","","","",""
"81","1929-01-01","Ottawa Senators","0","Boston Bruins","3","","","",""
"82","1929-01-01","Detroit Cougars","2","Chicago Black Hawks","1","","","",""
"83","1929-01-01","Montreal Canadiens","1","New York Americans","1","OT","","",""
"84","1929-01-01","Montreal Maroons","4","Pittsburgh Pirates","2","","","",""
"85","1929-01-01","New York Rangers","3","Toronto Maple Leafs","2","","","",""
"86","1929-01-03","Toronto Maple Leafs","2","Chicago Black Hawks","0","","","",""
"87","1929-01-03","Boston Bruins","1","Montreal Maroons","0","","","",""
"88","1929-01-03","Pittsburgh Pirates","2","New York Rangers","2","OT","","",""
"89","1929-01-03","Montreal Canadiens","1","Ottawa Senators","1","OT","","",""
"90","1929-01-05","Pittsburgh Pirates","2","Boston Bruins","3","","","",""
"91","1929-01-05","Montreal Maroons","0","Montreal Canadiens","0","OT","","",""
"92","1929-01-05","Ottawa Senators","1","Toronto Maple Leafs","3","","","",""
"93","1929-01-06","Detroit Cougars","3","Chicago Black Hawks","1","","","",""
"94","1929-01-06","New York Rangers","0","New York Americans","0","OT","","",""
"95","1929-01-08","Toronto Maple Leafs","2","Boston Bruins","5","","","",""
"96","1929-01-08","Ottawa Senators","1","Montreal Maroons","1","OT","","",""
"97","1929-01-08","Chicago Black Hawks","0","Pittsburgh Pirates","1","OT","","",""
"98","1929-01-10","Montreal Maroons","1","Chicago Black Hawks","1","OT","","",""
"99","1929-01-10","Pittsburgh Pirates","1","Detroit Cougars","4","","","",""
"100","1929-01-10","Boston Bruins","4","Montreal Canadiens","2","","","",""
"101","1929-01-10","Toronto Maple Leafs","0","New York Americans","2","","","",""
"102","1929-01-10","New York Rangers","9","Ottawa Senators","3","","","",""
"103","1929-01-12","Detroit Cougars","2","Boston Bruins","3","","","",""
"104","1929-01-12","Montreal Canadiens","3","Montreal Maroons","1","","","",""
"105","1929-01-12","Ottawa Senators","2","Pittsburgh Pirates","1","","","",""
"106","1929-01-12","New York Americans","1","Toronto Maple Leafs","0","OT","","",""
"107","1929-01-13","Pittsburgh Pirates","1","Chicago Black Hawks","1","OT","","",""
"108","1929-01-13","Detroit Cougars","0","New York Rangers","1","","","",""
"109","1929-01-15","New York Rangers","1","Boston Bruins","4","","","",""
"110","1929-01-15","Chicago Black Hawks","0","Montreal Canadiens","1","","","",""
