"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1998-04-22","Edmonton Oilers","3","Colorado Avalanche","2","","","",""
"2","1998-04-22","San Jose Sharks","1","Dallas Stars","4","","","",""
"3","1998-04-22","Phoenix Coyotes","3","Detroit Red Wings","6","","","",""
"4","1998-04-22","Ottawa Senators","2","New Jersey Devils","1","OT","","",""
"5","1998-04-22","Buffalo Sabres","3","Philadelphia Flyers","2","","","",""
"6","1998-04-22","Boston Bruins","1","Washington Capitals","3","","","",""
"7","1998-04-23","Montreal Canadiens","3","Pittsburgh Penguins","2","OT","","",""
"8","1998-04-23","Los Angeles Kings","3","St. Louis Blues","8","","","",""
"9","1998-04-24","Edmonton Oilers","2","Colorado Avalanche","5","","","",""
"10","1998-04-24","San Jose Sharks","2","Dallas Stars","5","","","",""
"11","1998-04-24","Phoenix Coyotes","7","Detroit Red Wings","4","","","",""
"12","1998-04-24","Ottawa Senators","1","New Jersey Devils","3","","","",""
"13","1998-04-24","Buffalo Sabres","2","Philadelphia Flyers","3","","","",""
"14","1998-04-24","Boston Bruins","4","Washington Capitals","3","2OT","","",""
"15","1998-04-25","Montreal Canadiens","1","Pittsburgh Penguins","4","","","",""
"16","1998-04-25","Los Angeles Kings","1","St. Louis Blues","2","","","",""
"17","1998-04-26","Washington Capitals","3","Boston Bruins","2","2OT","","",""
"18","1998-04-26","Colorado Avalanche","5","Edmonton Oilers","4","OT","","",""
"19","1998-04-26","New Jersey Devils","1","Ottawa Senators","2","OT","","",""
"20","1998-04-26","Detroit Red Wings","2","Phoenix Coyotes","3","","","",""
"21","1998-04-26","Dallas Stars","1","San Jose Sharks","4","","","",""
"22","1998-04-27","Philadelphia Flyers","1","Buffalo Sabres","6","","","",""
"23","1998-04-27","St. Louis Blues","4","Los Angeles Kings","3","","","",""
"24","1998-04-27","Pittsburgh Penguins","1","Montreal Canadiens","3","","","",""
"25","1998-04-28","Washington Capitals","3","Boston Bruins","0","","","",""
"26","1998-04-28","Colorado Avalanche","3","Edmonton Oilers","1","","","",""
"27","1998-04-28","New Jersey Devils","3","Ottawa Senators","4","","","",""
"28","1998-04-28","Detroit Red Wings","4","Phoenix Coyotes","2","","","",""
"29","1998-04-28","Dallas Stars","0","San Jose Sharks","1","OT","","",""
"30","1998-04-29","Philadelphia Flyers","1","Buffalo Sabres","4","","","",""
"31","1998-04-29","St. Louis Blues","2","Los Angeles Kings","1","","","",""
"32","1998-04-29","Pittsburgh Penguins","6","Montreal Canadiens","3","","","",""
"33","1998-04-30","Edmonton Oilers","3","Colorado Avalanche","1","","","",""
"34","1998-04-30","San Jose Sharks","2","Dallas Stars","3","","","",""
"35","1998-04-30","Phoenix Coyotes","1","Detroit Red Wings","3","","","",""
"36","1998-04-30","Ottawa Senators","1","New Jersey Devils","3","","","",""
"37","1998-05-01","Buffalo Sabres","3","Philadelphia Flyers","2","OT","","",""
"38","1998-05-01","Montreal Canadiens","5","Pittsburgh Penguins","2","","","",""
"39","1998-05-01","Boston Bruins","4","Washington Capitals","0","","","",""
"40","1998-05-02","Colorado Avalanche","0","Edmonton Oilers","2","","","",""
