,Date,Visitor,G,Home,G,,Att.,LOG,Notes
1,2019-04-10,Dallas Stars,3,Nashville Predators,2,,"17,458",02:30,
2,2019-04-10,Pittsburgh Penguins,3,New York Islanders,4,OT,"13,917",03:06,
3,2019-04-10,Vegas Golden Knights,2,San Jose Sharks,5,,"17,562",02:39,
4,2019-04-10,Columbus Blue Jackets,4,Tampa Bay Lightning,3,,"19,092",02:28,
5,2019-04-10,St. Louis Blues,2,Winnipeg Jets,1,,"15,321",02:31,
6,2019-04-11,Toronto Maple Leafs,4,Boston Bruins,1,,"17,565",02:30,
7,2019-04-11,Colorado Avalanche,0,Calgary Flames,4,,"19,289",02:42,
8,2019-04-11,Carolina Hurricanes,2,Washington Capitals,4,,"18,506",02:33,
9,2019-04-12,Pittsburgh Penguins,1,New York Islanders,3,,"13,917",02:37,
10,2019-04-12,Vegas Golden Knights,5,San Jose Sharks,3,,"17,562",02:36,
11,2019-04-12,Columbus Blue Jackets,5,Tampa Bay Lightning,1,,"19,092",02:29,
12,2019-04-12,St. Louis Blues,4,Winnipeg Jets,3,,"15,321",02:36,
13,2019-04-13,Toronto Maple Leafs,1,Boston Bruins,4,,"17,565",02:24,
14,2019-04-13,Colorado Avalanche,3,Calgary Flames,2,OT,"19,289",03:04,
15,2019-04-13,Dallas Stars,1,Nashville Predators,2,OT,"17,611",03:00,
16,2019-04-13,Carolina Hurricanes,3,Washington Capitals,4,OT,"18,506",02:53,
17,2019-04-14,Tampa Bay Lightning,1,Columbus Blue Jackets,3,,"19,224",02:29,
18,2019-04-14,New York Islanders,4,Pittsburgh Penguins,1,,"18,610",02:27,
19,2019-04-14,Winnipeg Jets,6,St. Louis Blues,3,,"18,486",02:33,
20,2019-04-14,San Jose Sharks,3,Vegas Golden Knights,6,,"18,461",02:41,
21,2019-04-15,Washington Capitals,0,Carolina Hurricanes,5,,"18,783",02:39,
22,2019-04-15,Calgary Flames,2,Colorado Avalanche,6,,"18,098",02:39,
23,2019-04-15,Nashville Predators,3,Dallas Stars,2,,"18,532",02:35,
24,2019-04-15,Boston Bruins,2,Toronto Maple Leafs,3,,"19,611",02:34,
25,2019-04-16,Tampa Bay Lightning,3,Columbus Blue Jackets,7,,"19,328",02:31,
26,2019-04-16,New York Islanders,3,Pittsburgh Penguins,1,,"18,609",02:29,
27,2019-04-16,Winnipeg Jets,2,St. Louis Blues,1,OT,"18,346",02:49,
28,2019-04-16,San Jose Sharks,0,Vegas Golden Knights,5,,"18,567",02:30,
29,2019-04-17,Calgary Flames,2,Colorado Avalanche,3,OT,"18,102",03:05,
30,2019-04-17,Nashville Predators,1,Dallas Stars,5,,"18,532",02:38,
31,2019-04-17,Boston Bruins,6,Toronto Maple Leafs,4,,"19,638",02:26,
32,2019-04-18,Washington Capitals,1,Carolina Hurricanes,2,,"19,202",02:19,
33,2019-04-18,Vegas Golden Knights,2,San Jose Sharks,5,,"17,562",02:22,
34,2019-04-18,St. Louis Blues,3,Winnipeg Jets,2,,"15,321",02:26,
35,2019-04-19,Toronto Maple Leafs,2,Boston Bruins,1,,"17,565",02:36,
36,2019-04-19,Colorado Avalanche,5,Calgary Flames,1,,"19,289",02:39,
37,2019-04-20,Dallas Stars,5,Nashville Predators,3,,"17,633",02:32,
38,2019-04-20,Winnipeg Jets,2,St. Louis Blues,3,,"18,524",02:39,
39,2019-04-20,Carolina Hurricanes,0,Washington Capitals,6,,"18,506",02:36,
40,2019-04-21,Boston Bruins,4,Toronto Maple Leafs,2,,"19,683",02:32,
41,2019-04-21,San Jose Sharks,2,Vegas Golden Knights,1,2OT,"18,458",03:58,
42,2019-04-22,Washington Capitals,2,Carolina Hurricanes,5,,"18,913",02:39,
43,2019-04-22,Nashville Predators,1,Dallas Stars,2,OT,"19,025",03:15,
44,2019-04-23,Toronto Maple Leafs,1,Boston Bruins,5,,"17,565",02:23,
45,2019-04-23,Vegas Golden Knights,4,San Jose Sharks,5,OT,"17,562",03:12,
46,2019-04-24,Carolina Hurricanes,4,Washington Capitals,3,2OT,"18,506",03:51,
47,2019-04-25,Columbus Blue Jackets,2,Boston Bruins,3,OT,"17,565",02:55,
48,2019-04-25,Dallas Stars,2,St. Louis Blues,3,,"18,014",02:31,
49,2019-04-26,Carolina Hurricanes,1,New York Islanders,0,OT,"15,795",02:51,
50,2019-04-26,Colorado Avalanche,2,San Jose Sharks,5,,"17,562",02:24,
51,2019-04-27,Columbus Blue Jackets,3,Boston Bruins,2,2OT,"17,565",03:49,
52,2019-04-27,Dallas Stars,4,St. Louis Blues,2,,"18,285",02:50,
53,2019-04-28,Carolina Hurricanes,2,New York Islanders,1,,"15,795",02:29,
54,2019-04-28,Colorado Avalanche,4,San Jose Sharks,3,,"17,562",02:29,
55,2019-04-29,St. Louis Blues,4,Dallas Stars,3,,"18,532",02:43,
56,2019-04-30,Boston Bruins,1,Columbus Blue Jackets,2,,"19,337",02:37,
57,2019-04-30,San Jose Sharks,4,Colorado Avalanche,2,,"18,106",02:22,
58,2019-05-01,New York Islanders,2,Carolina Hurricanes,5,,"19,066",02:32,
59,2019-05-01,St. Louis Blues,2,Dallas Stars,4,,"18,790",02:31,
60,2019-05-02,Boston Bruins,4,Columbus Blue Jackets,1,,"19,431",02:36,
61,2019-05-02,San Jose Sharks,0,Colorado Avalanche,3,,"18,110",02:39,
62,2019-05-03,New York Islanders,2,Carolina Hurricanes,5,,"19,495",02:25,
63,2019-05-03,Dallas Stars,2,St. Louis Blues,1,,"18,542",02:35,
64,2019-05-04,Columbus Blue Jackets,3,Boston Bruins,4,,"17,565",02:36,
65,2019-05-04,Colorado Avalanche,1,San Jose Sharks,2,,"17,562",02:25,
66,2019-05-05,St. Louis Blues,4,Dallas Stars,1,,"18,876",02:30,
67,2019-05-06,Boston Bruins,3,Columbus Blue Jackets,0,,"19,219",02:40,
68,2019-05-06,San Jose Sharks,3,Colorado Avalanche,4,OT,"18,098",02:55,
69,2019-05-07,Dallas Stars,1,St. Louis Blues,2,2OT,"18,531",03:49,
70,2019-05-08,Colorado Avalanche,2,San Jose Sharks,3,,"17,562",02:23,
71,2019-05-09,Carolina Hurricanes,2,Boston Bruins,5,,"17,565",02:36,
72,2019-05-11,St. Louis Blues,3,San Jose Sharks,6,,"17,562",02:37,
73,2019-05-12,Carolina Hurricanes,2,Boston Bruins,6,,"17,565",02:25,
74,2019-05-13,St. Louis Blues,4,San Jose Sharks,2,,"17,562",02:23,
75,2019-05-14,Boston Bruins,2,Carolina Hurricanes,1,,"18,768",02:39,
76,2019-05-15,San Jose Sharks,5,St. Louis Blues,4,OT,"18,360",02:53,
77,2019-05-16,Boston Bruins,4,Carolina Hurricanes,0,,"19,041",02:33,
78,2019-05-17,San Jose Sharks,1,St. Louis Blues,2,,"18,496",02:30,
79,2019-05-19,St. Louis Blues,5,San Jose Sharks,0,,"17,562",02:31,
80,2019-05-21,San Jose Sharks,1,St. Louis Blues,5,,"18,684",02:26,
81,2019-05-27,St. Louis Blues,2,Boston Bruins,4,,"17,565",02:32,
82,2019-05-29,St. Louis Blues,3,Boston Bruins,2,OT,"17,565",02:51,
83,2019-06-01,Boston Bruins,7,St. Louis Blues,2,,"18,789",02:34,
84,2019-06-03,Boston Bruins,2,St. Louis Blues,4,,"18,805",02:34,
85,2019-06-06,St. Louis Blues,2,Boston Bruins,1,,"17,565",02:38,
86,2019-06-09,Boston Bruins,5,St. Louis Blues,1,,"18,890",02:37,
87,2019-06-12,St. Louis Blues,4,Boston Bruins,1,,"17,565",02:21,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
