Team,Hex,AltHex,Hashtag,ShortCode,Division,Conference
Anaheim Ducks,#F47A38,#B9975B,#NHLDucks,ANA,Pacific,Western
Arizona Coyotes,#8C2633,#E2D6B5,#Yotes,ARI,,
Boston Bruins,#FFB81C,#000000,#NHLBruins,BOS,Atlantic,Eastern
Buffalo Sabres,#002654,#FCB514,#Sabres,BUF,Atlantic,Eastern
Calgary Flames,#C8102E,#F1BE48,#Flames,CGY,Pacific,Western
Carolina Hurricanes,#CC0000,#000000,#LetsGoCanes,CAR,Metropolitan,Eastern
Columbus Blue Jackets,#002654,#CE1126,#CBJ,CBJ,Metropolitan,Eastern
Chicago,#CF0A2C,#000000,#Chicago,CHI,Central,Western
Chicago Blackhawks,#CF0A2C,#000000,#Chicago,CHI,Central,Western
Colorado Avalanche,#6F263D,#236192,#GoAvsGo,COL,Central,Western
Dallas Stars,#006847,#8F8F8C,#GoStars,DAL,Central,Western
Detroit Red Wings,#CE1126,#CE1126,#RedWings,DET,Atlantic,Eastern
Edmonton Oilers,#041E42,#FF4C00,#LetsGoOilers,EDM,Pacific,Western
Florida Panthers,#041E42,#C8102E,#TimeToHunt,FLA,Atlantic,Eastern
Los Angeles Kings,#111111,#A2AAAD,#GoKingsGo,LAK,Pacific,Western
Minnesota Wild,#154734,#154734,#MNWild,MIN,Central,Western
Montreal Canadiens,#AF1E2D,#192168,#GoHabsGo,MTL,Atlantic,Eastern
Nashville Predators,#FFB81C,#041E42,#Smashville,NSH,Central,Western
New Jersey Devils,#CE1126,#000000,#NJDevils,NJD,Metropolitan,Eastern
New York Islanders,#00539B,#F47D30,#Isles,NYI,Metropolitan,Eastern
New York Rangers,#0038A8,#CE1126,#NYR,NYR,Metropolitan,Eastern
Ottawa Senators,#E31837,#000000,#Sens,OTT,Atlantic,Eastern
Philadelphia Flyers,#F74902,#000000,#LetsGoFlyers,PHI,Metropolitan,Eastern
Pittsburgh Penguins,#FCB514,#000000,#LetsGoPens,PIT,Metropolitan,Eastern
St. Louis Blues,#002F87,#FCB514,#STLBlues,STL,Central,Western
San Jose Sharks,#006D75,#000000,#SJSharks,SJS,Pacific,Western
Seattle Kraken,#99D9D9,#001628,#SeaKraken,SEA,Pacific,Western
Tampa Bay Lightning,#002868,#000000,#GoBolts,TBL,Atlantic,Eastern
Toronto Maple Leafs,#003E7E,#003E7E,#LeafsForever,TOR,Atlantic,Eastern
Vancouver Canucks,#001F5B,#00843D,#Canucks,VAN,Pacific,Western
Vegas Golden Knights,#B4975A,#333F42,#VegasBorn,VGK,Pacific,Western
Washington Capitals,#C8102E,#C8102E,#ALLCAPS,WSH,Metropolitan,Eastern
Winnipeg Jets,#041E42,#004C97,#GoJetsGo,WIN,Central,Western
Atlanta Thrashers,#041E42,#862633,#BelieveInBlueland,ATL,,
Hartford Whalers,#00205B,#046A38,#Whalers,HFD,,
Minnesota North Stars,#009639,#FFD100,#NorthStars,MNS,,
Quebec Nordiques,#DA291C,#005EB8,#Nordiques,QUE,,
Utah Hockey Club,#71AFE5,#090909,#UtahHockey,UTA,Central,Western
