"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1977-04-09","Indianapolis Racers","4","Cincinnati Stingers","3","","","",""
"2","1977-04-09","New England Whalers","2","Quebec Nordiques","5","","","",""
"3","1977-04-10","San Diego Mariners","1","Winnipeg Jets","5","","","",""
"4","1977-04-12","Indianapolis Racers","7","Cincinnati Stingers","2","","","",""
"5","1977-04-12","New England Whalers","3","Quebec Nordiques","7","","","",""
"6","1977-04-12","San Diego Mariners","1","Winnipeg Jets","4","","","",""
"7","1977-04-13","Edmonton Oilers","3","Houston Aeros","4","OT","","",""
"8","1977-04-14","Cincinnati Stingers","3","Indianapolis Racers","5","","","",""
"9","1977-04-14","Quebec Nordiques","4","New England Whalers","3","OT","","",""
"10","1977-04-15","Edmonton Oilers","2","Houston Aeros","6","","","",""
"11","1977-04-16","Cincinnati Stingers","1","Indianapolis Racers","3","","","",""
"12","1977-04-16","Quebec Nordiques","4","New England Whalers","6","","","",""
"13","1977-04-16","Winnipeg Jets","4","San Diego Mariners","5","","","",""
"14","1977-04-17","Houston Aeros","2","Edmonton Oilers","7","","","",""
"15","1977-04-17","Winnipeg Jets","4","San Diego Mariners","6","","","",""
"16","1977-04-19","New England Whalers","0","Quebec Nordiques","3","","","",""
"17","1977-04-20","Houston Aeros","4","Edmonton Oilers","1","","","",""
"18","1977-04-20","San Diego Mariners","0","Winnipeg Jets","3","","","",""
"19","1977-04-22","Edmonton Oilers","3","Houston Aeros","4","","","",""
"20","1977-04-22","Winnipeg Jets","1","San Diego Mariners","3","","","",""
"21","1977-04-23","Indianapolis Racers","1","Quebec Nordiques","3","","","",""
"22","1977-04-24","San Diego Mariners","3","Winnipeg Jets","7","","","",""
"23","1977-04-25","Indianapolis Racers","3","Quebec Nordiques","8","","","",""
"24","1977-04-26","Winnipeg Jets","4","Houston Aeros","3","OT","","",""
"25","1977-04-28","Winnipeg Jets","2","Houston Aeros","7","","","",""
"26","1977-04-28","Quebec Nordiques","6","Indianapolis Racers","5","OT","","",""
"27","1977-04-30","Quebec Nordiques","0","Indianapolis Racers","2","","","",""
"28","1977-04-30","Houston Aeros","3","Winnipeg Jets","4","","","",""
"29","1977-05-01","Houston Aeros","4","Winnipeg Jets","6","","","",""
"30","1977-05-02","Indianapolis Racers","3","Quebec Nordiques","8","","","",""
"31","1977-05-03","Winnipeg Jets","2","Houston Aeros","3","","","",""
"32","1977-05-05","Houston Aeros","3","Winnipeg Jets","6","","","",""
"33","1977-05-11","Winnipeg Jets","2","Quebec Nordiques","1","","","",""
"34","1977-05-15","Winnipeg Jets","1","Quebec Nordiques","6","","","",""
"35","1977-05-18","Quebec Nordiques","1","Winnipeg Jets","6","","","",""
"36","1977-05-20","Quebec Nordiques","4","Winnipeg Jets","2","","","",""
"37","1977-05-22","Winnipeg Jets","3","Quebec Nordiques","8","","","",""
"38","1977-05-24","Quebec Nordiques","3","Winnipeg Jets","12","","","",""
"39","1977-05-26","Winnipeg Jets","2","Quebec Nordiques","8","","","",""
