"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","1977-10-12","Indianapolis Racers","5","Cincinnati Stingers","4","","","",""
"2","1977-10-12","Winnipeg Jets","7","Edmonton Oilers","3","","","",""
"3","1977-10-12","New England Whalers","3","Houston Aeros","0","","","",""
"4","1977-10-13","Quebec Nordiques","2","Winnipeg Jets","5","","","",""
"5","1977-10-14","Houston Aeros","3","Birmingham Bulls","5","","","",""
"6","1977-10-14","Quebec Nordiques","2","Edmonton Oilers","4","","","",""
"7","1977-10-15","Winnipeg Jets","5","Cincinnati Stingers","4","","","",""
"8","1977-10-15","Indianapolis Racers","1","Houston Aeros","5","","","",""
"9","1977-10-15","Birmingham Bulls","2","New England Whalers","5","","","",""
"10","1977-10-15","Edmonton Oilers","2","Quebec Nordiques","6","","","",""
"11","1977-10-16","New England Whalers","2","Cincinnati Stingers","6","","","",""
"12","1977-10-16","Indianapolis Racers","1","Winnipeg Jets","9","","","",""
"13","1977-10-18","New England Whalers","2","Indianapolis Racers","2","","","",""
"14","1977-10-18","Cincinnati Stingers","1","Quebec Nordiques","5","","","",""
"15","1977-10-19","New England Whalers","6","Edmonton Oilers","3","","","",""
"16","1977-10-21","Cincinnati Stingers","5","Houston Aeros","6","","","",""
"17","1977-10-21","Quebec Nordiques","4","Indianapolis Racers","4","","","",""
"18","1977-10-21","New England Whalers","5","Winnipeg Jets","2","","","",""
"19","1977-10-22","Birmingham Bulls","5","Quebec Nordiques","8","","","",""
"20","1977-10-23","Birmingham Bulls","3","Winnipeg Jets","10","","","",""
"21","1977-10-25","Indianapolis Racers","5","Birmingham Bulls","4","","","",""
"22","1977-10-26","Edmonton Oilers","7","Houston Aeros","8","OT","","",""
"23","1977-10-26","Winnipeg Jets","3","Indianapolis Racers","5","","","",""
"24","1977-10-26","Quebec Nordiques","1","New England Whalers","7","","","",""
"25","1977-10-28","Edmonton Oilers","3","Birmingham Bulls","2","","","",""
"26","1977-10-28","Cincinnati Stingers","2","Winnipeg Jets","3","","","",""
"27","1977-10-29","Birmingham Bulls","2","Indianapolis Racers","6","","","",""
"28","1977-10-29","Houston Aeros","2","New England Whalers","7","","","",""
"29","1977-10-30","Houston Aeros","4","Quebec Nordiques","5","","","",""
"30","1977-10-30","Edmonton Oilers","2","Winnipeg Jets","5","","","",""
"31","1977-11-01","Houston Aeros","3","Indianapolis Racers","6","","","",""
"32","1977-11-01","New England Whalers","6","Quebec Nordiques","3","","","",""
"33","1977-11-02","Winnipeg Jets","6","Edmonton Oilers","3","","","",""
"34","1977-11-02","Birmingham Bulls","3","Houston Aeros","5","","","",""
"35","1977-11-04","Winnipeg Jets","4","Birmingham Bulls","2","","","",""
"36","1977-11-04","Indianapolis Racers","1","Edmonton Oilers","3","","","",""
"37","1977-11-04","Quebec Nordiques","7","Houston Aeros","6","","","",""
"38","1977-11-04","Cincinnati Stingers","3","New England Whalers","4","","","",""
"39","1977-11-05","Quebec Nordiques","4","Birmingham Bulls","5","OT","","",""
"40","1977-11-05","Winnipeg Jets","6","Cincinnati Stingers","1","","","",""
"41","1977-11-06","New England Whalers","5","Cincinnati Stingers","2","","","",""
"42","1977-11-06","Houston Aeros","1","Edmonton Oilers","7","","","",""
"43","1977-11-08","New England Whalers","4","Birmingham Bulls","3","","","",""
"44","1977-11-08","Edmonton Oilers","3","Quebec Nordiques","7","","","",""
"45","1977-11-09","Birmingham Bulls","1","Cincinnati Stingers","2","","","",""
"46","1977-11-09","Houston Aeros","3","Winnipeg Jets","4","","","",""
"47","1977-11-10","Edmonton Oilers","3","New England Whalers","5","","","",""
"48","1977-11-11","Edmonton Oilers","3","Cincinnati Stingers","2","","","",""
"49","1977-11-11","Indianapolis Racers","3","Houston Aeros","5","","","",""
"50","1977-11-11","Quebec Nordiques","3","Winnipeg Jets","2","OT","","",""
"51","1977-11-12","Edmonton Oilers","1","Birmingham Bulls","1","","","",""
"52","1977-11-12","Indianapolis Racers","3","New England Whalers","5","","","",""
"53","1977-11-12","Cincinnati Stingers","6","Quebec Nordiques","5","OT","","",""
"54","1977-11-13","Cincinnati Stingers","3","Winnipeg Jets","2","","","",""
