"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"1","2017-10-04","Calgary Flames","0","Edmonton Oilers","3","","18,347","2:34",""
"2","2017-10-04","St. Louis Blues","5","Pittsburgh Penguins","4","OT","18,652","2:38",""
"3","2017-10-04","Philadelphia Flyers","5","San Jose Sharks","3","","17,562","2:27",""
"4","2017-10-04","Toronto Maple Leafs","7","Winnipeg Jets","2","","15,321","2:33",""
"5","2017-10-05","Arizona Coyotes","4","Anaheim Ducks","5","","17,174","2:38",""
"6","2017-10-05","Nashville Predators","3","Boston Bruins","4","","17,565","2:39",""
"7","2017-10-05","Montreal Canadiens","3","Buffalo Sabres","2","SO","19,070","2:49",""
"8","2017-10-05","Pittsburgh Penguins","1","Chicago Blackhawks","10","","21,705","2:35",""
"9","2017-10-05","Minnesota Wild","2","Detroit Red Wings","4","","19,515","2:39",""
"10","2017-10-05","Philadelphia Flyers","0","Los Angeles Kings","2","","18,230","2:37",""
"11","2017-10-05","Colorado Avalanche","4","New York Rangers","2","","18,006","2:27",""
"12","2017-10-05","Washington Capitals","5","Ottawa Senators","4","SO","17,009","2:43",""
"13","2017-10-06","New York Islanders","0","Columbus Blue Jackets","5","","18,595","2:25",""
"14","2017-10-06","Vegas Golden Knights","2","Dallas Stars","1","","18,532","2:41",""
"15","2017-10-06","Florida Panthers","3","Tampa Bay Lightning","5","","19,092","2:32",""
"16","2017-10-07","Philadelphia Flyers","3","Anaheim Ducks","2","OT","16,032","2:30",""
"17","2017-10-07","Vegas Golden Knights","2","Arizona Coyotes","1","OT","17,125","2:36",""
"18","2017-10-07","Minnesota Wild","4","Carolina Hurricanes","5","SO","18,680","2:54",""
"19","2017-10-07","Winnipeg Jets","3","Calgary Flames","6","","19,289","2:32",""
"20","2017-10-07","Columbus Blue Jackets","1","Chicago Blackhawks","5","","21,264","2:23",""
"21","2017-10-07","Tampa Bay Lightning","4","Florida Panthers","5","","16,871","2:46",""
"22","2017-10-07","Colorado Avalanche","1","New Jersey Devils","4","","16,514","2:24",""
"23","2017-10-07","Buffalo Sabres","3","New York Islanders","6","","15,234","2:35",""
"24","2017-10-07","Detroit Red Wings","2","Ottawa Senators","1","SO","14,883","2:44",""
"25","2017-10-07","Nashville Predators","0","Pittsburgh Penguins","4","","18,645","2:38",""
"26","2017-10-07","Los Angeles Kings","4","San Jose Sharks","1","","17,562","2:31",""
"27","2017-10-07","Dallas Stars","2","St. Louis Blues","4","","18,858","2:32",""
"28","2017-10-07","New York Rangers","5","Toronto Maple Leafs","8","","19,621","2:48",""
"29","2017-10-07","Edmonton Oilers","2","Vancouver Canucks","3","","18,865","2:36",""
"30","2017-10-07","Montreal Canadiens","1","Washington Capitals","6","","18,506","2:39",""
"31","2017-10-08","Montreal Canadiens","0","New York Rangers","2","","18,006","2:29",""
"32","2017-10-09","Calgary Flames","2","Anaheim Ducks","0","","15,485","2:21",""
"33","2017-10-09","Colorado Avalanche","4","Boston Bruins","0","","17,565","2:28",""
"34","2017-10-09","New Jersey Devils","6","Buffalo Sabres","2","","17,697","2:26",""
"35","2017-10-09","Winnipeg Jets","5","Edmonton Oilers","2","","18,347","2:34",""
"36","2017-10-09","St. Louis Blues","3","New York Islanders","2","SO","10,673","2:39",""
"37","2017-10-09","Washington Capitals","3","Tampa Bay Lightning","4","OT","19,092","2:46",""
"38","2017-10-09","Chicago Blackhawks","3","Toronto Maple Leafs","4","OT","19,456","2:39",""
"39","2017-10-10","Columbus Blue Jackets","2","Carolina Hurricanes","1","OT","7,892","2:37",""
"40","2017-10-10","Detroit Red Wings","2","Dallas Stars","4","","18,119","2:42",""
